System,Dataset,Model,MAE,MAPE,RMSE
dconvert,svg-medium.csv,Linear Regression,0.6234908287047016,1.3440775535396219,0.7808966412326755
dconvert,svg-medium.csv,XGBoost,0.6417019238497631,1.4064332863173274,0.8077251842005443
dconvert,svg-medium.csv,Linear Regression,0.6331289069338388,1.3297399696753642,0.7912076813557453
dconvert,svg-medium.csv,XGBoost,0.6503885733336029,1.4088005370686905,0.8146210251601064
dconvert,svg-medium.csv,Linear Regression,0.6232608735864302,1.3150857108888947,0.7812065207377692
dconvert,svg-medium.csv,XGBoost,0.6260839728704001,1.3363712146798732,0.7909586062931789
dconvert,svg-medium.csv,Linear Regression,0.623075522045779,1.3642908277032857,0.781251804560283
dconvert,svg-medium.csv,XGBoost,0.6368829201630396,1.4234636521856614,0.7980991893953376
dconvert,svg-medium.csv,Linear Regression,0.6403611273458332,1.37108549826315,0.8002502271393456
dconvert,svg-medium.csv,XGBoost,0.6493086516149955,1.4186584839682392,0.8187269685632497
dconvert,svg-small.csv,Linear Regression,0.4211433975478889,0.7364163671483237,0.5275845872730714
dconvert,svg-small.csv,XGBoost,0.26156993165718256,0.5429198727647957,0.330148793741103
dconvert,svg-small.csv,Linear Regression,0.4043384880985079,0.6838348259772733,0.5067886127592538
dconvert,svg-small.csv,XGBoost,0.26485956110768016,0.5552433731648304,0.3320231992984917
dconvert,svg-small.csv,Linear Regression,0.39514612866587556,0.7404713184729455,0.49799826909853695
dconvert,svg-small.csv,XGBoost,0.26130036893647046,0.591578637433979,0.333245607161185
dconvert,svg-small.csv,Linear Regression,0.4060823072443402,0.7273644208466646,0.5087733223666312
dconvert,svg-small.csv,XGBoost,0.26457655144083514,0.5995039096294806,0.33281402222398804
dconvert,svg-small.csv,Linear Regression,0.4118416843483301,0.7319301746971655,0.5131928819088692
dconvert,svg-small.csv,XGBoost,0.26169056812915353,0.5509372064192222,0.32917577104567286
h2,smallbank-1.csv,Linear Regression,0.3539596364985883,1.2028770754676306,0.430062017548676
h2,smallbank-1.csv,XGBoost,0.2296813009422876,1.033914148633344,0.3006347650119845
h2,smallbank-1.csv,Linear Regression,0.36217344066130214,1.5114670505877525,0.4355219487186544
h2,smallbank-1.csv,XGBoost,0.23495569554797438,1.932506959560976,0.30540136157411535
h2,smallbank-1.csv,Linear Regression,0.3633728895682011,1.9212178685185122,0.43907737385472223
h2,smallbank-1.csv,XGBoost,0.23925833805331778,1.2956047800257424,0.3102082782024612
h2,smallbank-1.csv,Linear Regression,0.3610639919188934,2.2816686876925707,0.43032388916151026
h2,smallbank-1.csv,XGBoost,0.22689202104592318,4.070784952597712,0.29662554497019333
h2,smallbank-1.csv,Linear Regression,0.3627253529908275,1.6503584543939382,0.43402173009293166
h2,smallbank-1.csv,XGBoost,0.2374153670786276,1.379680082285012,0.3051047540060246
h2,smallbank-10.csv,Linear Regression,0.2561957334284782,0.8720738076637706,0.3172049648631952
h2,smallbank-10.csv,XGBoost,0.12456117056969196,0.34092205765141714,0.16822093843483896
h2,smallbank-10.csv,Linear Regression,0.2662836790460641,0.9953080520075285,0.3192926983546162
h2,smallbank-10.csv,XGBoost,0.12116441551158233,0.33819671025677595,0.16272433167620193
h2,smallbank-10.csv,Linear Regression,0.2593009699368706,1.1186053731313372,0.3108228934704751
h2,smallbank-10.csv,XGBoost,0.12109327764775055,0.8608193445476039,0.16295985379540073
h2,smallbank-10.csv,Linear Regression,0.26765145525307926,1.8022735494040785,0.32593581619253714
h2,smallbank-10.csv,XGBoost,0.12669557654449762,0.40768479386987255,0.17293654515895243
h2,smallbank-10.csv,Linear Regression,0.27145838088199536,0.8876018699444156,0.3337731313380537
h2,smallbank-10.csv,XGBoost,0.12290163216493269,0.3025421575838327,0.16724085730942032
h2,tpcc-2.csv,Linear Regression,0.36405351411264425,1.694559877877259,0.45187437126721497
h2,tpcc-2.csv,XGBoost,0.24285012860300095,1.7343888314282585,0.30890321050530983
h2,tpcc-2.csv,Linear Regression,0.3723772388054961,2.1180475007092037,0.4602821413411312
h2,tpcc-2.csv,XGBoost,0.2535592796835419,1.323907152413668,0.31947704345863454
h2,tpcc-2.csv,Linear Regression,0.37694914233853116,1.6050601376888605,0.46308844346630057
h2,tpcc-2.csv,XGBoost,0.24915023852514298,1.2777777980648617,0.32067518576191895
h2,tpcc-2.csv,Linear Regression,0.3697709079035827,1.51076276284064,0.459986455653201
h2,tpcc-2.csv,XGBoost,0.24535169119019273,1.9492784274414525,0.3089329903061088
h2,tpcc-2.csv,Linear Regression,0.37650404059269577,1.153010834979642,0.4669463074489602
h2,tpcc-2.csv,XGBoost,0.24222402624872374,0.8349059214741955,0.3041334098457491
h2,tpcc-8.csv,Linear Regression,0.6157062426941409,2.6929592054973983,0.9306171958148153
h2,tpcc-8.csv,XGBoost,0.6650773528382459,1.835098038931534,1.097141473581717
h2,tpcc-8.csv,Linear Regression,0.6275321111132169,0.9972093556746188,0.9505157261053597
h2,tpcc-8.csv,XGBoost,0.6842151982446536,1.4514321494316418,1.1158666939286273
h2,tpcc-8.csv,Linear Regression,0.6440060688128956,1.3420652266725286,0.9678329191011684
h2,tpcc-8.csv,XGBoost,0.638476080128808,2.7943701005867463,1.0474955858119435
h2,tpcc-8.csv,Linear Regression,0.6417219974031767,1.2236933045548706,0.9455984264137867
h2,tpcc-8.csv,XGBoost,0.672516292158371,1.4159351732309824,1.078898578510609
h2,tpcc-8.csv,Linear Regression,0.623272858203123,1.1375447811120236,0.9411012539154272
h2,tpcc-8.csv,XGBoost,0.6801890413108824,1.503317267579724,1.1450998796872167
h2,voter-16.csv,Linear Regression,0.2843890071268083,1.5618311826968894,0.3199428177666079
